student_id,minor
570d7497-0e1f-4694-9528-985aaed91000,"Public health, general"
186bfbac-fee5-4639-a539-2123f7c815c3,Museology/Museum studies
1d564504-80cb-474d-840e-9c3cae25d1ed,International relations and affairs
44142915-45d1-4c85-a36f-b3a2fc2cb9a3,Business analytics
417bbfab-1e29-4428-94dc-125ef237d7f5,"Marketing, other"
d20f7bb9-7984-43c7-b8ad-6c35d7d47e71,Creative writing
ce267a79-7149-47c1-8fc4-77817d979d87,"Finance, general"
dfadd726-2dd3-4d82-afcc-795515c9bdf8,"Management information systems, general"
9b420b03-0a5c-4f54-9e4d-ad152af827a5,American sign language (asl)
9ee47450-20b6-4025-9633-6069c3c94021,"Marketing/Marketing management, general"
45c511f3-7c59-4c4b-8532-05146ef8077c,"Fine/Studio arts, general"
37ff1066-fbdd-4af4-8756-86a2c57f0c73,"Fine/Studio arts, general"
45b76879-4a2f-447b-9d22-4c58b5208f06,"Biology/Biological sciences, general"
dc84f577-206a-49ab-9ffe-1691a8d79e45,Spanish language and literature
dc779bbb-c58a-4b23-940a-0fb5ef967771,"Art history, criticism and conservation"
17731eb3-60e0-4d2b-aab1-62f1246b491e,International/Globalization studies
45c511f3-7c59-4c4b-8532-05146ef8077c,Graphic design
564eeddf-521d-47ca-b453-423e084f5946,"Sociology, general"
a3f078f0-6e8e-482e-93a3-7b58a14930b7,"Business administration and management, general"
a3f078f0-6e8e-482e-93a3-7b58a14930b7,Mathematics and statistics
d70b1f97-4f2a-47e8-9086-262c0eaa0d74,Sustainability studies
d70b1f97-4f2a-47e8-9086-262c0eaa0d74,"Public health, general"
15887eaf-387c-422b-90d3-c539d56653b0,Spanish language and literature
cfd2b7fd-3bc3-4b0b-8612-3b62639b6570,"Political science and government, general"
e3fbe2aa-6f56-4f60-a0e4-77d99dfdb1b4,Music
d94307d7-f440-4966-8aca-4fe146630c90,"Finance, general"
07f94563-051f-49fb-a2bf-151bcefd8c91,"Finance, general"
ebbb3c58-1a13-4eac-a762-e83711493bac,Information technology
ebbb3c58-1a13-4eac-a762-e83711493bac,"Economics, general"
11ffcf9a-1db8-413f-b317-ea2249de5935,"Public health, general"
2557f2a9-7994-4dc4-b95e-8a98dab18a17,Music
c2547148-a143-43e8-bce5-9bce819880b7,"Biology/Biological sciences, general"
d2728e99-b074-4402-9d52-4aad09ddcf51,"Accounting and related services, other"
795c840b-b9d5-4325-ab89-53eed6f48ee4,Forensic science and technology
50da31c4-0b48-42e0-8a95-b6ea97a7e6c3,"Marketing/Marketing management, general"
5b5db648-5204-4509-bdb8-d22599bc8ce9,International relations and affairs
540e9cf3-6f68-48cf-93e7-2814d384ffdb,"Business/Corporate communications, general"
b46e0436-28cd-42be-8a03-8df73a0580ed,Spanish language and literature
20ff0c5a-0a42-4e31-b178-b49b70f93f92,"Classics and classical languages, literatures, and linguistics, general"
c3122c58-73a7-4423-8d26-0de844fbc0c5,"Art history, criticism and conservation"
8bccb588-65df-4d6d-92bc-523659aca7eb,Accounting and business/Management
da3decb5-268b-4fbd-bfff-c0b2bd7ced41,"Business administration, management and operations, other"
72f698d1-cb87-4d08-930b-aa25cb0dca2e,Medical illustration/Medical illustrator
03b1c347-6d6c-46d5-af92-50dd59efff7f,Philosophy
e20b9dc5-9b5a-487e-9f7b-6f13b2fb6bac,Philosophy
79128441-caba-4c1e-8996-652b92e52a9a,Philosophy
d3c4e6e2-30d6-41ec-b2ba-236279529472,"Classical and ancient studies, other"
c6c214d9-e16a-438d-bc7e-69302f76c971,"Fine/Studio arts, general"
bb2a03cc-7578-4ffc-81d5-54181bd56d14,Food science
a96ee91b-6ada-4638-8726-19e3679f99de,Health professions and related programs
5d469b87-0293-45ca-85e0-688ade57054b,"Communication, general"
7619108b-d802-4a46-a1c8-a277e5ebfa3b,"Finance, general"
6e274021-8dd0-467b-8818-499c454dfda1,French language and literature
339beb7b-80c3-48ba-9827-6a0c20d4d5ef,"Business/Commerce, general"
720ae67a-a1ce-4289-8291-0acd1029e65c,Art
b33160ae-ae3e-45ef-bf88-7469e11049cd,"Finance, general"
b7686df9-986b-41be-9a2a-2b8ba8f0e53b,"Art history, criticism and conservation"
dc7f660b-9cb6-4898-8657-87353d92c1ed,Spanish language and literature
a645da14-97e9-4e22-af2a-493d9a9a2717,"Human services, general"
1400b6b5-942e-4aaf-a992-d9a01d5c7dc5,"Economics, general"
931c8df7-5d9a-496a-b1f9-af35347fcbda,Entrepreneurship/Entrepreneurial studies
931c8df7-5d9a-496a-b1f9-af35347fcbda,Political economy
dab24f65-27e3-46e6-ab6f-53e13a5c0ca8,Spanish language and literature
fa8d4ccf-cdc9-46ca-8188-c4b1dd8740f3,"Air force rotc, air science and operations, other"
ae785ade-06b1-460c-b5f5-617bdb30f089,"Management information systems, general"
565e1984-c677-40ca-8a6e-8bc1023fe85c,"Anthropology, general"
66a0e744-96ca-4959-8f53-09889ba463db,Spanish language and literature
31e8b461-77ef-43ee-89cb-70555605e3d9,"English language and literature, general"
7c7a2ebd-f7ed-4e52-a283-889a5a3542f6,Spanish language and literature
3411b2f0-92d5-4fa0-861e-4773acbef345,Criminal justice/Police science
4c18a4f5-dc21-4355-903d-9b94e13cc5b4,"Communication, general"
2fd74fd4-d143-423d-91a1-b3e64d7d16b5,"Psychology, general"
555ade8e-bead-4ed2-8a52-4c3a5714f288,"History, general"
0615c6c9-fd37-4093-8af4-b41550bef5e4,Secondary education and teaching
c20c03eb-2273-4f6c-8031-a6f5060d41e8,Spanish language and literature
b96ade97-456d-45ee-a0ee-50ab4cd45a2c,"Art history, criticism and conservation"
8dca083d-87a7-4274-b8dd-06823592c78d,Film/Cinema/Media studies
9f15b585-e93f-4db2-a935-1e9ffd468204,Criminology
7ee40224-0aed-4cda-b16b-bdc670167367,"Multi-/Interdisciplinary studies, general"
