student_id,major
e99879f3-bcaf-418f-b0e7-e2ae5e1c7121,Biochemistry
e99879f3-bcaf-418f-b0e7-e2ae5e1c7121,Spanish language and literature
ec29ad3f-6a74-4b09-b5a6-22379b6c0494,Clinical psychology
cb826b70-ad56-4e30-af59-1c194b6dd59b,"Business administration and management, general"
d39db09c-f024-4fd0-9b1f-4ad4be58e116,Meteorology
3f622472-9ac1-464e-a472-225429052222,"Marketing/Marketing management, general"
471a6e5b-2c6c-4a40-a2d0-240513a2333a,"Political science and government, general"
2276fb64-b992-4acc-913a-c8144a587ddb,Spanish language and literature
cece9e60-933a-4bd9-b78c-e3a1ff090cc3,Spanish language and literature
6e0ae3a5-173d-4bb2-b602-ec9bee57c8ec,"Business administration and management, general"
b2a8ef6d-9e49-4ff1-a6c1-78bad387e12a,"Psychology, general"
b2a8ef6d-9e49-4ff1-a6c1-78bad387e12a,Creative writing
f8f95789-0cce-4d90-bf48-e45bd35a0f5a,"Civil engineering, general"
806f2430-997a-411e-be64-b2f204278ac8,"Biology/Biological sciences, general"
72a5aa0c-0c6f-4540-9b9e-2ea89303abb5,"Fine/Studio arts, general"
2276fb64-b992-4acc-913a-c8144a587ddb,Secondary education and teaching
cece9e60-933a-4bd9-b78c-e3a1ff090cc3,Secondary education and teaching
22a6cb09-948d-43c7-8463-5ad828a9f39e,"Communication and media studies, other"
03c8b926-6236-484d-8c48-169c862fd3b7,
e50d4e27-f59c-4d8c-b1a3-a2e943e32fb0,"Communication and media studies, other"
e50d4e27-f59c-4d8c-b1a3-a2e943e32fb0,"Data science, general"
6bae7c2a-a309-4e96-a399-f8d975fdf682,"Marketing/Marketing management, general"
5553cc56-d9e6-4d6e-8398-fa7407b3e56e,International/Globalization studies
8b10b89d-6ba3-4e02-8e51-1df788f81118,Business/Managerial economics
7f3ce714-cde9-4d25-8aed-9767290464b0,"Medical residency/Fellowship programs, other"
9138157a-9a3c-496c-95b8-7dde7991b519,Criminology
9138157a-9a3c-496c-95b8-7dde7991b519,"Corrections and criminal justice, other"
36f92de3-762e-44eb-8a1e-c2ca8fd6aab1,Fashion merchandising
54c9aa34-7349-42f5-a6ee-ab8f60e4c1f3,"Fine/Studio arts, general"
5deba096-94fd-4538-aedc-e657bc47f0e5,"Business administration, management and operations, other"
efea9e7f-06aa-4991-827d-c6db6c440aa9,European history
056783c2-b674-4420-a660-7833d042d594,European history
d5020869-5133-412d-a2a0-b34de06334ab,"Marketing/Marketing management, general"
d5020869-5133-412d-a2a0-b34de06334ab,"Communication, general"
efea9e7f-06aa-4991-827d-c6db6c440aa9,American  history (united states)
056783c2-b674-4420-a660-7833d042d594,American  history (united states)
c49ea9ea-5300-4bc1-9bbb-327a4a497edc,"Psychology, general"
d32addf9-19e4-48d7-9986-447823208ed7,"Culinary arts and related services, other"
0575e99c-9db6-4659-8657-e42eb5eff849,"Communication, general"
951d3fe1-6631-4054-b253-e2f1691adea3,"Biology/Biological sciences, general"
f0879a22-9285-4ad3-bd0c-5afe4077505d,American  history (united states)
e5d6754b-3b06-44c0-a89a-b7c2930ca735,"Business administration, management and operations, other"
f0729786-b336-4414-b038-e178fe824f4a,Nutrition sciences
9a117e2d-5d72-4908-bfe6-9035cd1b304a,Nutrition sciences
fde23b21-7521-40ac-9658-588a2b47e138,"Marketing, other"
791f043a-991d-4377-8716-61a86593eb78,Environmental science
b114a186-eab5-4e74-8324-2d0e832012b5,Neuroscience
890fb599-38c1-4cfe-8480-0afdd781aa9e,Electrical and electronics engineering
3078705d-8b87-4fec-a75b-fb4d34de3966,"History, general"
3078705d-8b87-4fec-a75b-fb4d34de3966,"Anthropology, general"
9b56b4ea-a14d-4993-b6f9-016de13833bb,"Biology/Biological sciences, general"
34fb79f6-065a-472b-b513-8cb9e9fae38b,Exercise science and kinesiology
8520a415-96eb-420a-8559-a05e1a2df06b,"English language and literature, general"
8520a415-96eb-420a-8559-a05e1a2df06b,International/Globalization studies
fd65a0a3-ec0c-4b74-88f9-f7e79eba55ee,"Political science and government, general"
44fcfe28-bfb1-4dc4-8cb3-90c4f6e603be,"Communication, general"
e0a3bd97-2807-4dd8-8d9e-56dd85fcb4ff,Fashion/Apparel design
8fef3dba-32a7-4988-8716-79948fc91e6a,Fashion/Apparel design
04164cba-b329-47da-919e-f281d0a23e34,"Marketing/Marketing management, general"
720724c2-683d-41bf-b8c1-3b92e72dae13,International business/Trade/Commerce
844b0ac4-4311-40a3-bfaa-680fe7e4a746,International business/Trade/Commerce
aa5c609e-904b-4a6c-97fb-4acd9db6f6a8,Sport and fitness administration/Management
0ca4314f-4f39-4001-9495-647cc6a2910f,Exercise science and kinesiology
ee6e41eb-1b43-4dd3-a929-c0c3a2e4a30c,"Fine/Studio arts, general"
